state_code,county_code,site_number,parameter_code,poc,latitude,longitude,datum,parameter,sample_duration_code,sample_duration,pollutant_standard,date_local,units_of_measure,event_type,observation_count,observation_percent,validity_indicator,arithmetic_mean,first_max_value,first_max_hour,aqi,method_code,method,local_site_name,site_address,state,county,city,cbsa_code,cbsa,date_of_last_change
17,031,0022,81102,4,41.687165,-87.539315,WGS84,PM10 Total 0-10um STP,X,24-HR BLK AVG,PM10 24-hour 2006,2022-08-27,Micrograms/cubic meter (25 C),No Events,1,100,Y,31,31,23,29,122,INSTRUMENT MET ONE 4 MODELS - BETA ATTENUATION,WASHINGTON HS,3535 E. 114TH ST.,Illinois,Cook,Chicago,16980,"Chicago-Naperville-Elgin, IL-IN-WI",2022-10-12
17,031,0022,81102,4,41.687165,-87.539315,WGS84,PM10 Total 0-10um STP,X,24-HR BLK AVG,PM10 24-hour 2006,2022-08-28,Micrograms/cubic meter (25 C),No Events,1,100,Y,32,32,23,30,122,INSTRUMENT MET ONE 4 MODELS - BETA ATTENUATION,WASHINGTON HS,3535 E. 114TH ST.,Illinois,Cook,Chicago,16980,"Chicago-Naperville-Elgin, IL-IN-WI",2022-10-12
17,031,0022,81102,4,41.687165,-87.539315,WGS84,PM10 Total 0-10um STP,X,24-HR BLK AVG,PM10 24-hour 2006,2022-08-29,Micrograms/cubic meter (25 C),No Events,1,100,Y,33,33,23,31,122,INSTRUMENT MET ONE 4 MODELS - BETA ATTENUATION,WASHINGTON HS,3535 E. 114TH ST.,Illinois,Cook,Chicago,16980,"Chicago-Naperville-Elgin, IL-IN-WI",2022-10-12
17,031,0022,81102,4,41.687165,-87.539315,WGS84,PM10 Total 0-10um STP,X,24-HR BLK AVG,PM10 24-hour 2006,2022-08-30,Micrograms/cubic meter (25 C),No Events,1,100,Y,35,35,23,32,122,INSTRUMENT MET ONE 4 MODELS - BETA ATTENUATION,WASHINGTON HS,3535 E. 114TH ST.,Illinois,Cook,Chicago,16980,"Chicago-Naperville-Elgin, IL-IN-WI",2022-10-12
17,031,0022,81102,4,41.687165,-87.539315,WGS84,PM10 Total 0-10um STP,X,24-HR BLK AVG,PM10 24-hour 2006,2022-08-31,Micrograms/cubic meter (25 C),No Events,1,100,Y,40,40,23,37,122,INSTRUMENT MET ONE 4 MODELS - BETA ATTENUATION,WASHINGTON HS,3535 E. 114TH ST.,Illinois,Cook,Chicago,16980,"Chicago-Naperville-Elgin, IL-IN-WI",2022-10-12
17,031,0022,81102,4,41.687165,-87.539315,WGS84,PM10 Total 0-10um STP,X,24-HR BLK AVG,PM10 24-hour 2006,2022-09-01,Micrograms/cubic meter (25 C),No Events,1,100,Y,59,59,23,53,122,INSTRUMENT MET ONE 4 MODELS - BETA ATTENUATION,WASHINGTON HS,3535 E. 114TH ST.,Illinois,Cook,Chicago,16980,"Chicago-Naperville-Elgin, IL-IN-WI",2022-10-12
17,031,0022,81102,4,41.687165,-87.539315,WGS84,PM10 Total 0-10um STP,X,24-HR BLK AVG,PM10 24-hour 2006,2022-09-02,Micrograms/cubic meter (25 C),No Events,1,100,Y,44,44,23,41,122,INSTRUMENT MET ONE 4 MODELS - BETA ATTENUATION,WASHINGTON HS,3535 E. 114TH ST.,Illinois,Cook,Chicago,16980,"Chicago-Naperville-Elgin, IL-IN-WI",2022-10-12
17,031,0022,81102,4,41.687165,-87.539315,WGS84,PM10 Total 0-10um STP,X,24-HR BLK AVG,PM10 24-hour 2006,2022-09-03,Micrograms/cubic meter (25 C),No Events,1,100,Y,32,32,23,30,122,INSTRUMENT MET ONE 4 MODELS - BETA ATTENUATION,WASHINGTON HS,3535 E. 114TH ST.,Illinois,Cook,Chicago,16980,"Chicago-Naperville-Elgin, IL-IN-WI",2022-10-12
17,031,0022,81102,4,41.687165,-87.539315,WGS84,PM10 Total 0-10um STP,X,24-HR BLK AVG,PM10 24-hour 2006,2022-09-04,Micrograms/cubic meter (25 C),No Events,1,100,Y,22,22,23,20,122,INSTRUMENT MET ONE 4 MODELS - BETA ATTENUATION,WASHINGTON HS,3535 E. 114TH ST.,Illinois,Cook,Chicago,16980,"Chicago-Naperville-Elgin, IL-IN-WI",2022-10-12
17,031,0022,81102,4,41.687165,-87.539315,WGS84,PM10 Total 0-10um STP,X,24-HR BLK AVG,PM10 24-hour 2006,2022-09-05,Micrograms/cubic meter (25 C),No Events,1,100,Y,21,21,23,19,122,INSTRUMENT MET ONE 4 MODELS - BETA ATTENUATION,WASHINGTON HS,3535 E. 114TH ST.,Illinois,Cook,Chicago,16980,"Chicago-Naperville-Elgin, IL-IN-WI",2022-10-12
